partij,age,gender,geo,percentage geslacht/leeftijd,percentage regio,percentage totaal
PvdD,55-64,man,Gelderland,"5,33","13,04","0,71"
SGP,55-64,man,Gelderland,"5,51","21,59","1,17"
SP,55-64,man,Gelderland,"16,34","12,21","2,08"
VVD,55-64,man,Gelderland,"8,89","12,87","1,15"
50Plus,65+,man,Gelderland,"34,89","11,32","3,9"
CDA,65+,man,Gelderland,"18,14","15,32","2,98"
ChristenUnie,65+,man,Gelderland,"8,03","16,51","1,22"
D66,65+,man,Gelderland,"7,58","12,21","0,96"
DENK,65+,man,Gelderland,"5,74","11,11",0
FvD,65+,man,Gelderland,"8,9","12,69","1,1"
GroenLinks,65+,man,Gelderland,"4,29","11,09","0,57"
PvdA,65+,man,Gelderland,"7,13","49,13","2,9"
PvdD,65+,man,Gelderland,"4,61","13,04","0,61"
SGP,65+,man,Gelderland,"5,23","21,59","1,12"
SP,65+,man,Gelderland,"22,12","12,21","2,9"
VVD,65+,man,Gelderland,"5,96","12,87","0,77"
50Plus,13-17,onbekend,Gelderland,0,"11,32",0
CDA,13-17,onbekend,Gelderland,0,"15,32",0
ChristenUnie,13-17,onbekend,Gelderland,0,"16,51",0
D66,13-17,onbekend,Gelderland,0,"12,21",0
DENK,13-17,onbekend,Gelderland,0,"11,11",0
FvD,13-17,onbekend,Gelderland,0,"12,69",0
GroenLinks,13-17,onbekend,Gelderland,0,"11,09",0
PvdA,13-17,onbekend,Gelderland,0,"49,13",0
PvdD,13-17,onbekend,Gelderland,"0,01","13,04",0
SGP,13-17,onbekend,Gelderland,0,"21,59",0
SP,13-17,onbekend,Gelderland,0,"12,21",0
VVD,13-17,onbekend,Gelderland,0,"12,87",0
50Plus,18-24,onbekend,Gelderland,0,"11,32",0
CDA,18-24,onbekend,Gelderland,0,"15,32",0
ChristenUnie,18-24,onbekend,Gelderland,"0,01","16,51",0
D66,18-24,onbekend,Gelderland,"0,07","12,21","0,01"
DENK,18-24,onbekend,Gelderland,"0,07","11,11","0,02"
FvD,18-24,onbekend,Gelderland,"0,01","12,69",0
GroenLinks,18-24,onbekend,Gelderland,"0,12","11,09","0,02"
PvdA,18-24,onbekend,Gelderland,"0,06","49,13","0,04"
PvdD,18-24,onbekend,Gelderland,"0,08","13,04","0,01"
SGP,18-24,onbekend,Gelderland,"0,01","21,59",0
SP,18-24,onbekend,Gelderland,"0,01","12,21",0
VVD,18-24,onbekend,Gelderland,"0,05","12,87","0,01"
50Plus,25-34,onbekend,Gelderland,0,"11,32",0
CDA,25-34,onbekend,Gelderland,"0,04","15,32",0
ChristenUnie,25-34,onbekend,Gelderland,"0,01","16,51",0
D66,25-34,onbekend,Gelderland,"0,08","12,21","0,01"
DENK,25-34,onbekend,Gelderland,"0,08","11,11","0,01"
FvD,25-34,onbekend,Gelderland,"0,03","12,69",0
GroenLinks,25-34,onbekend,Gelderland,"0,15","11,09","0,02"
PvdA,25-34,onbekend,Gelderland,"0,04","49,13","0,02"
PvdD,25-34,onbekend,Gelderland,"0,09","13,04","0,01"
SGP,25-34,onbekend,Gelderland,"0,03","21,59","0,01"
SP,25-34,onbekend,Gelderland,"0,02","12,21",0
VVD,25-34,onbekend,Gelderland,"0,06","12,87","0,01"
50Plus,35-44,onbekend,Gelderland,0,"11,32",0
CDA,35-44,onbekend,Gelderland,"0,08","15,32","0,01"
ChristenUnie,35-44,onbekend,Gelderland,"0,08","16,51","0,01"
D66,35-44,onbekend,Gelderland,"0,07","12,21","0,01"
DENK,35-44,onbekend,Gelderland,"0,11","11,11","0,01"
FvD,35-44,onbekend,Gelderland,"0,07","12,69","0,01"
GroenLinks,35-44,onbekend,Gelderland,"0,08","11,09","0,01"
PvdA,35-44,onbekend,Gelderland,"0,08","49,13","0,05"
PvdD,35-44,onbekend,Gelderland,"0,08","13,04","0,01"
SGP,35-44,onbekend,Gelderland,"0,06","21,59","0,01"
SP,35-44,onbekend,Gelderland,"0,03","12,21",0
VVD,35-44,onbekend,Gelderland,"0,1","12,87","0,01"
50Plus,45-54,onbekend,Gelderland,0,"11,32",0
CDA,45-54,onbekend,Gelderland,"0,06","15,32","0,01"
ChristenUnie,45-54,onbekend,Gelderland,"0,07","16,51","0,01"
D66,45-54,onbekend,Gelderland,"0,08","12,21","0,01"
DENK,45-54,onbekend,Gelderland,"0,08","11,11",0
FvD,45-54,onbekend,Gelderland,"0,05","12,69","0,01"
GroenLinks,45-54,onbekend,Gelderland,"0,06","11,09","0,01"
PvdA,45-54,onbekend,Gelderland,"0,08","49,13","0,02"
PvdD,45-54,onbekend,Gelderland,"0,05","13,04","0,01"
SGP,45-54,onbekend,Gelderland,"0,02","21,59",0
SP,45-54,onbekend,Gelderland,"0,04","12,21",0
VVD,45-54,onbekend,Gelderland,"0,09","12,87","0,01"
50Plus,55-64,onbekend,Gelderland,"0,07","11,32","0,01"
CDA,55-64,onbekend,Gelderland,"0,05","15,32","0,01"
ChristenUnie,55-64,onbekend,Gelderland,"0,05","16,51","0,01"
D66,55-64,onbekend,Gelderland,"0,07","12,21","0,01"
DENK,55-64,onbekend,Gelderland,"0,04","11,11",0
FvD,55-64,onbekend,Gelderland,"0,03","12,69",0
GroenLinks,55-64,onbekend,Gelderland,"0,03","11,09",0
PvdA,55-64,onbekend,Gelderland,"0,06","49,13","0,04"
PvdD,55-64,onbekend,Gelderland,"0,03","13,04",0
SGP,55-64,onbekend,Gelderland,"0,02","21,59",0
SP,55-64,onbekend,Gelderland,"0,08","12,21","0,01"
VVD,55-64,onbekend,Gelderland,"0,05","12,87","0,01"
50Plus,65+,onbekend,Gelderland,"0,27","11,32","0,03"
CDA,65+,onbekend,Gelderland,"0,06","15,32","0,01"
ChristenUnie,65+,onbekend,Gelderland,"0,07","16,51","0,01"
D66,65+,onbekend,Gelderland,"0,07","12,21","0,01"
DENK,65+,onbekend,Gelderland,"0,04","11,11",0
FvD,65+,onbekend,Gelderland,"0,04","12,69",0
GroenLinks,65+,onbekend,Gelderland,"0,04","11,09","0,01"
PvdA,65+,onbekend,Gelderland,"0,05","49,13","0,02"
PvdD,65+,onbekend,Gelderland,"0,03","13,04",0
SGP,65+,onbekend,Gelderland,"0,01","21,59",0
SP,65+,onbekend,Gelderland,"0,08","12,21","0,01"
VVD,65+,onbekend,Gelderland,"0,05","12,87","0,01"
50Plus,13-17,vrouw,Groningen,0,"5,07",0
CDA,13-17,vrouw,Groningen,0,"6,34",0
ChristenUnie,13-17,vrouw,Groningen,0,"5,34",0
D66,13-17,vrouw,Groningen,0,"4,89",0
DENK,13-17,vrouw,Groningen,0,"3,51",0
FvD,13-17,vrouw,Groningen,"0,01","5,13",0
GroenLinks,13-17,vrouw,Groningen,0,"8,62",0
PvdA,13-17,vrouw,Groningen,"0,09","31,07","0,02"
PvdD,13-17,vrouw,Groningen,"1,01","4,87","0,05"
SGP,13-17,vrouw,Groningen,0,"2,29",0
SP,13-17,vrouw,Groningen,0,"5,37",0
VVD,13-17,vrouw,Groningen,0,"3,96",0
50Plus,18-24,vrouw,Groningen,0,"5,07",0
CDA,18-24,vrouw,Groningen,"0,89","6,34","0,04"
ChristenUnie,18-24,vrouw,Groningen,"3,11","5,34","0,18"
D66,18-24,vrouw,Groningen,"13,58","4,89","0,8"
DENK,18-24,vrouw,Groningen,"6,32","3,51","0,53"
FvD,18-24,vrouw,Groningen,"2,21","5,13","0,1"
GroenLinks,18-24,vrouw,Groningen,"21,77","8,62","1,59"
PvdA,18-24,vrouw,Groningen,"17,59","31,07","5,08"
PvdD,18-24,vrouw,Groningen,"21,32","4,87","0,94"
SGP,18-24,vrouw,Groningen,"9,08","2,29","0,21"
SP,18-24,vrouw,Groningen,"1,41","5,37","0,02"
VVD,18-24,vrouw,Groningen,"5,6","3,96","0,19"
50Plus,25-34,vrouw,Groningen,0,"5,07",0
CDA,25-34,vrouw,Groningen,"6,09","6,34","0,49"
ChristenUnie,25-34,vrouw,Groningen,"7,48","5,34","0,39"
D66,25-34,vrouw,Groningen,"8,1","4,89","0,37"
DENK,25-34,vrouw,Groningen,"5,59","3,51","0,16"
FvD,25-34,vrouw,Groningen,"3,3","5,13","0,15"
GroenLinks,25-34,vrouw,Groningen,"15,95","8,62","1,15"
PvdA,25-34,vrouw,Groningen,"11,71","31,07","2,85"
PvdD,25-34,vrouw,Groningen,"14,15","4,87","0,68"
SGP,25-34,vrouw,Groningen,"9,39","2,29","0,21"
SP,25-34,vrouw,Groningen,"2,11","5,37","0,06"
VVD,25-34,vrouw,Groningen,"5,61","3,96","0,2"
50Plus,35-44,vrouw,Groningen,0,"5,07",0
CDA,35-44,vrouw,Groningen,"6,21","6,34","0,49"
ChristenUnie,35-44,vrouw,Groningen,"10,65","5,34","0,55"
D66,35-44,vrouw,Groningen,"5,61","4,89","0,24"
DENK,35-44,vrouw,Groningen,"6,08","3,51","0,12"
FvD,35-44,vrouw,Groningen,"3,71","5,13","0,19"
GroenLinks,35-44,vrouw,Groningen,"5,88","8,62","0,61"
PvdA,35-44,vrouw,Groningen,"7,68","31,07","1,86"
PvdD,35-44,vrouw,Groningen,"6,88","4,87","0,35"
SGP,35-44,vrouw,Groningen,"6,22","2,29","0,14"
SP,35-44,vrouw,Groningen,"2,8","5,37","0,12"
VVD,35-44,vrouw,Groningen,"4,86","3,96","0,19"
50Plus,45-54,vrouw,Groningen,0,"5,07",0
CDA,45-54,vrouw,Groningen,"7,4","6,34","0,53"
ChristenUnie,45-54,vrouw,Groningen,"11,37","5,34","0,6"
D66,45-54,vrouw,Groningen,"7,52","4,89","0,32"
DENK,45-54,vrouw,Groningen,"4,66","3,51","0,01"
FvD,45-54,vrouw,Groningen,"5,52","5,13","0,29"
GroenLinks,45-54,vrouw,Groningen,"6,8","8,62","0,73"
PvdA,45-54,vrouw,Groningen,"7,68","31,07","2,27"
PvdD,45-54,vrouw,Groningen,"4,92","4,87","0,25"
SGP,45-54,vrouw,Groningen,"5,77","2,29","0,13"
SP,45-54,vrouw,Groningen,"5,26","5,37","0,28"
VVD,45-54,vrouw,Groningen,"6,61","3,96","0,26"
50Plus,55-64,vrouw,Groningen,"9,36","5,07","0,46"
CDA,55-64,vrouw,Groningen,"7,91","6,34","0,54"
ChristenUnie,55-64,vrouw,Groningen,"11,67","5,34","0,61"
D66,55-64,vrouw,Groningen,"8,03","4,89","0,37"
DENK,55-64,vrouw,Groningen,"5,54","3,51",0
FvD,55-64,vrouw,Groningen,"7,77","5,13","0,4"
GroenLinks,55-64,vrouw,Groningen,"5,42","8,62","0,63"
PvdA,55-64,vrouw,Groningen,"9,32","31,07","3,32"
PvdD,55-64,vrouw,Groningen,"5,56","4,87","0,29"
SGP,55-64,vrouw,Groningen,"5,08","2,29","0,12"
SP,55-64,vrouw,Groningen,"11,75","5,37","0,67"
VVD,55-64,vrouw,Groningen,"5,76","3,96","0,25"
50Plus,65+,vrouw,Groningen,"46,14","5,07","2,34"
CDA,65+,vrouw,Groningen,"10,99","6,34","0,67"
ChristenUnie,65+,vrouw,Groningen,"18,94","5,34","0,99"
D66,65+,vrouw,Groningen,"8,75","4,89","0,4"
DENK,65+,vrouw,Groningen,"7,22","3,51",0
FvD,65+,vrouw,Groningen,"7,63","5,13","0,4"
GroenLinks,65+,vrouw,Groningen,"6,42","8,62","0,66"
PvdA,65+,vrouw,Groningen,"10,51","31,07","3,89"
PvdD,65+,vrouw,Groningen,"6,31","4,87","0,33"
SGP,65+,vrouw,Groningen,"6,32","2,29","0,15"
SP,65+,vrouw,Groningen,"17,44","5,37","1,03"
VVD,65+,vrouw,Groningen,"5,41","3,96","0,22"
50Plus,13-17,man,Groningen,0,"5,07",0
CDA,13-17,man,Groningen,0,"6,34",0
ChristenUnie,13-17,man,Groningen,0,"5,34",0
D66,13-17,man,Groningen,0,"4,89",0
DENK,13-17,man,Groningen,0,"3,51",0
FvD,13-17,man,Groningen,"0,08","5,13","0,01"
GroenLinks,13-17,man,Groningen,0,"8,62",0
PvdA,13-17,man,Groningen,"0,04","31,07","0,01"
PvdD,13-17,man,Groningen,"0,88","4,87","0,04"
SGP,13-17,man,Groningen,0,"2,29",0
SP,13-17,man,Groningen,0,"5,37",0
VVD,13-17,man,Groningen,0,"3,96",0
50Plus,18-24,man,Groningen,0,"5,07",0
CDA,18-24,man,Groningen,"2,05","6,34","0,09"
ChristenUnie,18-24,man,Groningen,"3,2","5,34","0,18"
D66,18-24,man,Groningen,"9,72","4,89","0,56"
DENK,18-24,man,Groningen,"15,15","3,51","1,45"
FvD,18-24,man,Groningen,"8,35","5,13","0,41"
GroenLinks,18-24,man,Groningen,"10,68","8,62","0,9"
PvdA,18-24,man,Groningen,"6,34","31,07","1,62"
PvdD,18-24,man,Groningen,"10,03","4,87","0,45"
SGP,18-24,man,Groningen,"13,65","2,29","0,31"
SP,18-24,man,Groningen,"2,84","5,37","0,08"
VVD,18-24,man,Groningen,"12,14","3,96","0,47"
50Plus,25-34,man,Groningen,0,"5,07",0
CDA,25-34,man,Groningen,"8,66","6,34","0,62"
ChristenUnie,25-34,man,Groningen,"6,42","5,34","0,36"
D66,25-34,man,Groningen,"8,99","4,89","0,43"
DENK,25-34,man,Groningen,"14,36","3,51","0,66"
FvD,25-34,man,Groningen,"15,64","5,13","0,8"
GroenLinks,25-34,man,Groningen,"10,85","8,62","0,79"
PvdA,25-34,man,Groningen,"6,18","31,07","1,57"
PvdD,25-34,man,Groningen,"9,42","4,87","0,45"
SGP,25-34,man,Groningen,"17,04","2,29","0,38"
SP,25-34,man,Groningen,"4,03","5,37","0,17"
VVD,25-34,man,Groningen,"15,27","3,96","0,6"
50Plus,35-44,man,Groningen,0,"5,07",0
CDA,35-44,man,Groningen,"8,68","6,34","0,57"
ChristenUnie,35-44,man,Groningen,"6,36","5,34","0,35"
D66,35-44,man,Groningen,"5,85","4,89","0,26"
DENK,35-44,man,Groningen,"13,91","3,51","0,49"
FvD,35-44,man,Groningen,"11,83","5,13","0,59"
GroenLinks,35-44,man,Groningen,"3,84","8,62","0,34"
PvdA,35-44,man,Groningen,"4,01","31,07","1,78"
PvdD,35-44,man,Groningen,"4,49","4,87","0,23"
SGP,35-44,man,Groningen,"8,93","2,29","0,2"
SP,35-44,man,Groningen,"4,81","5,37","0,24"
VVD,35-44,man,Groningen,"10,82","3,96","0,44"
50Plus,45-54,man,Groningen,0,"5,07",0
CDA,45-54,man,Groningen,"10,58","6,34","0,66"
ChristenUnie,45-54,man,Groningen,"6,44","5,34","0,35"
D66,45-54,man,Groningen,"7,76","4,89","0,37"
DENK,45-54,man,Groningen,"8,34","3,51","0,06"
FvD,45-54,man,Groningen,"13,37","5,13","0,7"
GroenLinks,45-54,man,Groningen,"3,73","8,62","0,38"
PvdA,45-54,man,Groningen,"4,86","31,07","1,76"
PvdD,45-54,man,Groningen,"4,72","4,87","0,25"
SGP,45-54,man,Groningen,"7,64","2,29","0,18"
SP,45-54,man,Groningen,"8,82","5,37","0,49"
VVD,45-54,man,Groningen,"12,66","3,96","0,51"
50Plus,55-64,man,Groningen,"9,27","5,07","0,47"
CDA,55-64,man,Groningen,"12,1","6,34","0,68"
ChristenUnie,55-64,man,Groningen,"6,03","5,34","0,33"
D66,55-64,man,Groningen,"7,88","4,89","0,39"
DENK,55-64,man,Groningen,"6,69","3,51",0
FvD,55-64,man,Groningen,"11,44","5,13","0,6"
GroenLinks,55-64,man,Groningen,"3,88","8,62","0,39"
PvdA,55-64,man,Groningen,"6,49","31,07","2,6"
PvdD,55-64,man,Groningen,"5,33","4,87","0,29"
SGP,55-64,man,Groningen,"5,51","2,29","0,13"
SP,55-64,man,Groningen,"16,34","5,37","0,92"
VVD,55-64,man,Groningen,"8,89","3,96","0,35"
50Plus,65+,man,Groningen,"34,89","5,07","1,78"
CDA,65+,man,Groningen,"18,14","6,34","0,96"
ChristenUnie,65+,man,Groningen,"8,03","5,34","0,43"
D66,65+,man,Groningen,"7,58","4,89","0,36"
DENK,65+,man,Groningen,"5,74","3,51",0
FvD,65+,man,Groningen,"8,9","5,13","0,47"
GroenLinks,65+,man,Groningen,"4,29","8,62","0,42"
PvdA,65+,man,Groningen,"7,13","31,07","2,37"
PvdD,65+,man,Groningen,"4,61","4,87","0,25"
SGP,65+,man,Groningen,"5,23","2,29","0,12"
SP,65+,man,Groningen,"22,12","5,37","1,27"
VVD,65+,man,Groningen,"5,96","3,96","0,26"
50Plus,13-17,onbekend,Groningen,0,"5,07",0
CDA,13-17,onbekend,Groningen,0,"6,34",0
ChristenUnie,13-17,onbekend,Groningen,0,"5,34",0
D66,13-17,onbekend,Groningen,0,"4,89",0
DENK,13-17,onbekend,Groningen,0,"3,51",0
FvD,13-17,onbekend,Groningen,0,"5,13",0
GroenLinks,13-17,onbekend,Groningen,0,"8,62",0
PvdA,13-17,onbekend,Groningen,0,"31,07",0
PvdD,13-17,onbekend,Groningen,"0,01","4,87",0
SGP,13-17,onbekend,Groningen,0,"2,29",0
SP,13-17,onbekend,Groningen,0,"5,37",0
VVD,13-17,onbekend,Groningen,0,"3,96",0
50Plus,18-24,onbekend,Groningen,0,"5,07",0
CDA,18-24,onbekend,Groningen,0,"6,34",0
ChristenUnie,18-24,onbekend,Groningen,"0,01","5,34",0
D66,18-24,onbekend,Groningen,"0,07","4,89",0
DENK,18-24,onbekend,Groningen,"0,07","3,51","0,01"
FvD,18-24,onbekend,Groningen,"0,01","5,13",0
GroenLinks,18-24,onbekend,Groningen,"0,12","8,62","0,01"
PvdA,18-24,onbekend,Groningen,"0,06","31,07","0,01"
PvdD,18-24,onbekend,Groningen,"0,08","4,87",0
SGP,18-24,onbekend,Groningen,"0,01","2,29",0
SP,18-24,onbekend,Groningen,"0,01","5,37",0
VVD,18-24,onbekend,Groningen,"0,05","3,96",0
50Plus,25-34,onbekend,Groningen,0,"5,07",0
CDA,25-34,onbekend,Groningen,"0,04","6,34",0
ChristenUnie,25-34,onbekend,Groningen,"0,01","5,34",0
D66,25-34,onbekend,Groningen,"0,08","4,89",0
DENK,25-34,onbekend,Groningen,"0,08","3,51",0
FvD,25-34,onbekend,Groningen,"0,03","5,13",0
GroenLinks,25-34,onbekend,Groningen,"0,15","8,62","0,01"
PvdA,25-34,onbekend,Groningen,"0,04","31,07",0
PvdD,25-34,onbekend,Groningen,"0,09","4,87",0
SGP,25-34,onbekend,Groningen,"0,03","2,29",0
SP,25-34,onbekend,Groningen,"0,02","5,37",0
VVD,25-34,onbekend,Groningen,"0,06","3,96",0
50Plus,35-44,onbekend,Groningen,0,"5,07",0
CDA,35-44,onbekend,Groningen,"0,08","6,34",0
ChristenUnie,35-44,onbekend,Groningen,"0,08","5,34",0
D66,35-44,onbekend,Groningen,"0,07","4,89",0
DENK,35-44,onbekend,Groningen,"0,11","3,51",0
FvD,35-44,onbekend,Groningen,"0,07","5,13",0
GroenLinks,35-44,onbekend,Groningen,"0,08","8,62","0,01"
PvdA,35-44,onbekend,Groningen,"0,08","31,07","0,01"
PvdD,35-44,onbekend,Groningen,"0,08","4,87",0
SGP,35-44,onbekend,Groningen,"0,06","2,29",0
SP,35-44,onbekend,Groningen,"0,03","5,37",0
VVD,35-44,onbekend,Groningen,"0,1","3,96",0
50Plus,45-54,onbekend,Groningen,0,"5,07",0
CDA,45-54,onbekend,Groningen,"0,06","6,34",0
ChristenUnie,45-54,onbekend,Groningen,"0,07","5,34",0
D66,45-54,onbekend,Groningen,"0,08","4,89",0
DENK,45-54,onbekend,Groningen,"0,08","3,51",0
FvD,45-54,onbekend,Groningen,"0,05","5,13",0
GroenLinks,45-54,onbekend,Groningen,"0,06","8,62",0
PvdA,45-54,onbekend,Groningen,"0,08","31,07","0,01"
PvdD,45-54,onbekend,Groningen,"0,05","4,87",0
SGP,45-54,onbekend,Groningen,"0,02","2,29",0
SP,45-54,onbekend,Groningen,"0,04","5,37",0
VVD,45-54,onbekend,Groningen,"0,09","3,96",0
50Plus,55-64,onbekend,Groningen,"0,07","5,07",0
CDA,55-64,onbekend,Groningen,"0,05","6,34",0
ChristenUnie,55-64,onbekend,Groningen,"0,05","5,34",0
D66,55-64,onbekend,Groningen,"0,07","4,89",0
DENK,55-64,onbekend,Groningen,"0,04","3,51",0
FvD,55-64,onbekend,Groningen,"0,03","5,13",0
GroenLinks,55-64,onbekend,Groningen,"0,03","8,62",0
PvdA,55-64,onbekend,Groningen,"0,06","31,07","0,01"
PvdD,55-64,onbekend,Groningen,"0,03","4,87",0
SGP,55-64,onbekend,Groningen,"0,02","2,29",0
SP,55-64,onbekend,Groningen,"0,08","5,37",0
VVD,55-64,onbekend,Groningen,"0,05","3,96",0
50Plus,65+,onbekend,Groningen,"0,27","5,07","0,02"
CDA,65+,onbekend,Groningen,"0,06","6,34",0
ChristenUnie,65+,onbekend,Groningen,"0,07","5,34",0
D66,65+,onbekend,Groningen,"0,07","4,89",0
DENK,65+,onbekend,Groningen,"0,04","3,51",0
FvD,65+,onbekend,Groningen,"0,04","5,13",0
GroenLinks,65+,onbekend,Groningen,"0,04","8,62",0
PvdA,65+,onbekend,Groningen,"0,05","31,07",0
PvdD,65+,onbekend,Groningen,"0,03","4,87",0
SGP,65+,onbekend,Groningen,"0,01","2,29",0
SP,65+,onbekend,Groningen,"0,08","5,37","0,01"
VVD,65+,onbekend,Groningen,"0,05","3,96",0
50Plus,13-17,vrouw,Limburg,0,"10,65",0
CDA,13-17,vrouw,Limburg,0,"12,72",0
ChristenUnie,13-17,vrouw,Limburg,0,"2,58",0
D66,13-17,vrouw,Limburg,0,"7,05",0
DENK,13-17,vrouw,Limburg,0,"6,79",0
FvD,13-17,vrouw,Limburg,"0,01","8,49",0
GroenLinks,13-17,vrouw,Limburg,0,"5,47",0
PvdA,13-17,vrouw,Limburg,"0,09","32,1","0,04"
PvdD,13-17,vrouw,Limburg,"1,01","6,18","0,06"
SGP,13-17,vrouw,Limburg,0,"1,63",0
SP,13-17,vrouw,Limburg,0,"9,49",0
VVD,13-17,vrouw,Limburg,0,"6,88",0
50Plus,18-24,vrouw,Limburg,0,"10,65",0
CDA,18-24,vrouw,Limburg,"0,89","12,72","0,12"
ChristenUnie,18-24,vrouw,Limburg,"3,11","2,58","0,05"
D66,18-24,vrouw,Limburg,"13,58","7,05","0,82"
DENK,18-24,vrouw,Limburg,"6,32","6,79","0,98"
FvD,18-24,vrouw,Limburg,"2,21","8,49","0,18"
GroenLinks,18-24,vrouw,Limburg,"21,77","5,47","1,17"
PvdA,18-24,vrouw,Limburg,"17,59","32,1","4,3"
PvdD,18-24,vrouw,Limburg,"21,32","6,18","1,25"
SGP,18-24,vrouw,Limburg,"9,08","1,63","0,14"
SP,18-24,vrouw,Limburg,"1,41","9,49","0,04"
VVD,18-24,vrouw,Limburg,"5,6","6,88","0,33"
50Plus,25-34,vrouw,Limburg,0,"10,65",0
CDA,25-34,vrouw,Limburg,"6,09","12,72","0,85"
ChristenUnie,25-34,vrouw,Limburg,"7,48","2,58","0,15"
D66,25-34,vrouw,Limburg,"8,1","7,05","0,52"
DENK,25-34,vrouw,Limburg,"5,59","6,79","0,33"
FvD,25-34,vrouw,Limburg,"3,3","8,49","0,25"
GroenLinks,25-34,vrouw,Limburg,"15,95","5,47","0,81"
PvdA,25-34,vrouw,Limburg,"11,71","32,1","3,22"
PvdD,25-34,vrouw,Limburg,"14,15","6,18","0,82"
SGP,25-34,vrouw,Limburg,"9,39","1,63","0,15"
SP,25-34,vrouw,Limburg,"2,11","9,49","0,11"
VVD,25-34,vrouw,Limburg,"5,61","6,88","0,35"
50Plus,35-44,vrouw,Limburg,0,"10,65",0
CDA,35-44,vrouw,Limburg,"6,21","12,72","0,91"
ChristenUnie,35-44,vrouw,Limburg,"10,65","2,58","0,21"
D66,35-44,vrouw,Limburg,"5,61","7,05","0,4"
DENK,35-44,vrouw,Limburg,"6,08","6,79","0,26"
FvD,35-44,vrouw,Limburg,"3,71","8,49","0,31"
GroenLinks,35-44,vrouw,Limburg,"5,88","5,47","0,28"
PvdA,35-44,vrouw,Limburg,"7,68","32,1","2,16"
PvdD,35-44,vrouw,Limburg,"6,88","6,18","0,39"
SGP,35-44,vrouw,Limburg,"6,22","1,63","0,1"
SP,35-44,vrouw,Limburg,"2,8","9,49","0,21"
VVD,35-44,vrouw,Limburg,"4,86","6,88","0,35"
50Plus,45-54,vrouw,Limburg,0,"10,65",0
CDA,45-54,vrouw,Limburg,"7,4","12,72","0,98"
ChristenUnie,45-54,vrouw,Limburg,"11,37","2,58","0,24"
D66,45-54,vrouw,Limburg,"7,52","7,05","0,63"
DENK,45-54,vrouw,Limburg,"4,66","6,79","0,03"
FvD,45-54,vrouw,Limburg,"5,52","8,49","0,46"
GroenLinks,45-54,vrouw,Limburg,"6,8","5,47","0,36"
PvdA,45-54,vrouw,Limburg,"7,68","32,1","2,24"
PvdD,45-54,vrouw,Limburg,"4,92","6,18","0,3"
SGP,45-54,vrouw,Limburg,"5,77","1,63","0,09"
SP,45-54,vrouw,Limburg,"5,26","9,49","0,48"
VVD,45-54,vrouw,Limburg,"6,61","6,88","0,47"
50Plus,55-64,vrouw,Limburg,"9,36","10,65","1,01"
CDA,55-64,vrouw,Limburg,"7,91","12,72","0,99"
ChristenUnie,55-64,vrouw,Limburg,"11,67","2,58","0,29"
D66,55-64,vrouw,Limburg,"8,03","7,05","0,64"
DENK,55-64,vrouw,Limburg,"5,54","6,79",0
FvD,55-64,vrouw,Limburg,"7,77","8,49","0,68"
GroenLinks,55-64,vrouw,Limburg,"5,42","5,47","0,31"
PvdA,55-64,vrouw,Limburg,"9,32","32,1","3,76"
PvdD,55-64,vrouw,Limburg,"5,56","6,18","0,36"
SGP,55-64,vrouw,Limburg,"5,08","1,63","0,08"
SP,55-64,vrouw,Limburg,"11,75","9,49","1,17"
VVD,55-64,vrouw,Limburg,"5,76","6,88","0,44"
50Plus,65+,vrouw,Limburg,"46,14","10,65","4,93"
CDA,65+,vrouw,Limburg,"10,99","12,72","1,25"
ChristenUnie,65+,vrouw,Limburg,"18,94","2,58","0,69"
D66,65+,vrouw,Limburg,"8,75","7,05","0,73"
DENK,65+,vrouw,Limburg,"7,22","6,79",0
FvD,65+,vrouw,Limburg,"7,63","8,49","0,67"
GroenLinks,65+,vrouw,Limburg,"6,42","5,47","0,47"
PvdA,65+,vrouw,Limburg,"10,51","32,1","4,3"
PvdD,65+,vrouw,Limburg,"6,31","6,18","0,41"
SGP,65+,vrouw,Limburg,"6,32","1,63","0,1"
SP,65+,vrouw,Limburg,"17,44","9,49","1,81"
VVD,65+,vrouw,Limburg,"5,41","6,88","0,41"
50Plus,13-17,man,Limburg,0,"10,65",0
CDA,13-17,man,Limburg,0,"12,72",0
ChristenUnie,13-17,man,Limburg,0,"2,58",0
D66,13-17,man,Limburg,0,"7,05",0
DENK,13-17,man,Limburg,0,"6,79",0
FvD,13-17,man,Limburg,"0,08","8,49","0,01"
GroenLinks,13-17,man,Limburg,0,"5,47",0
PvdA,13-17,man,Limburg,"0,04","32,1","0,01"
PvdD,13-17,man,Limburg,"0,88","6,18","0,05"
SGP,13-17,man,Limburg,0,"1,63",0
SP,13-17,man,Limburg,0,"9,49",0
VVD,13-17,man,Limburg,0,"6,88",0
50Plus,18-24,man,Limburg,0,"10,65",0
CDA,18-24,man,Limburg,"2,05","12,72","0,3"
ChristenUnie,18-24,man,Limburg,"3,2","2,58","0,05"
D66,18-24,man,Limburg,"9,72","7,05","0,57"
DENK,18-24,man,Limburg,"15,15","6,79","2,69"
FvD,18-24,man,Limburg,"8,35","8,49","0,71"
GroenLinks,18-24,man,Limburg,"10,68","5,47","0,53"
PvdA,18-24,man,Limburg,"6,34","32,1","1,38"
PvdD,18-24,man,Limburg,"10,03","6,18","0,6"
SGP,18-24,man,Limburg,"13,65","1,63","0,22"
